id,raw_item_id,source,collected_keyword,source_item_id,source_url,title,normalized_title,product_name,category,source_category,brand,model_name,product_key,item_condition,components,price,currency,trade_status,source_status,listed_at,sold_at,location,shipping_fee,trade_method,image_url,description,crawled_at
11,6,joongna,나이키 후드티,229057650,https://web.joongna.com/product/229057650,연세대 나이키 후드티 팝니다,연세대 나이키 후드티 팝니다,후드티,의류,패션의류 > 남성의류,Nike,,의류:nike:후드티,중고,구성품 없음,32000,KRW,판매완료,판매완료,,,,4000,"택배거래, 직거래",https://img2.joongna.com/media/original/2026/05/28/1779933165638X4T_t53TR.jpg?impolicy=thumb,"※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다. ※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다. ─────────────────── 📢 제목에 ""제조사/ 브랜드 명""과 ""상품명”를 넣어 작성하면, 보다 빠른 판매가 가능합니다! 📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다! 👆 오늘 작성가능한 게시글 수가 부족하다면, 상단에 ""중고나라 앱 다운받기""를 통해서 앱에서 작성해 주세요! 사이즈L 택배 5천 반택 가능 직거래 서울",2026-05-29 15:54:35
12,7,joongna,나이키 후드티,228326232,https://web.joongna.com/product/228326232,(상태최고)나이키 남성 후드티(100),상태최고 나이키 남성 후드티 100,후드티,의류,패션의류 > 남성의류 > 티셔츠/캐쥬얼의류,Nike,,의류:nike:후드티,중고,구성품 없음,34000,KRW,판매완료,판매완료,,,,,택배거래,https://img2.joongna.com/media/original/2026/05/07/1778082006218VxN_IzYhf.jpg?impolicy=thumb,사이즈(100) 가슴단면 59 총장66 오버핏 다크카키에 빈티지스런 디자인 실물이 훨씬예쁘고 정말 멋져요사용감적고 완전 상태좋아요 정품입니다 택배비포함 드려요,2026-05-29 15:54:36
13,8,joongna,나이키 후드티,228437229,https://web.joongna.com/product/228437229,나이키 월드투어 후드티 M 블랙 후드 후디 맨투맨 스웻,나이키 월드투어 후드티 m 블랙 후드 후디 맨투맨 스웻,후드티,의류,패션의류 > 남성의류 > 티셔츠/캐쥬얼의류,Nike,,의류:nike:후드티,중고,구성품 없음,15000,KRW,판매완료,판매완료,,,,1800,"택배거래, 직거래",https://img2.joongna.com/media/original/2026/05/10/1778377195718twv_LJLi5.jpg?impolicy=thumb,"전체적으로 사용감이 많습니다 팔쪽 작은 이염 존재합니다 상세 사이즈 총장 66 가슴단면 53 ☑️ 공지사항 - 모든 문의 환영합니다 - 모든거래는 선입금 순 입니다 - 빈티지 제품 특성상 교환 및 환불이 어렵습니다 - 빈티지 특성상 미세하자나 미세이염이 존재할 수 있습니다 - 실측 방법에 따라 1~3cm 오차범위가 있을 수 있습니다 ☑️ 배송비 - 일반택배 기본 3,000원/제주 및 산간지역 6,000원 - 편의점 반값택배 1,600원 ★ 3개 이상 구매 시 택배비 무료 ㅋㅇㅂㅋ 0.5",2026-05-29 15:54:37
14,9,joongna,나이키 후드티,228293993,https://web.joongna.com/product/228293993,조던 화이트 후드티 L 나이키 후디 빈티지 스트릿,조던 화이트 후드티 l 나이키 후디 빈티지 스트릿,후드티,의류,패션의류 > 남성의류 > 티셔츠/캐쥬얼의류,Nike,,의류:nike:후드티,중고,구성품 없음,15000,KRW,판매완료,판매완료,,,,1800,"택배거래, 직거래",https://img2.joongna.com/media/original/2026/05/06/1778025656008ix3_QOMJV.jpg?impolicy=thumb,"조던 후드티 가격 - 25,000 사이즈 - L 상세 사이즈 총장 67 가슴단면 55 설명 - 주머니부분 약간의 이염외엔 큰 하자없이 상태 양호합니다 ☑️ 공지사항 - 모든 문의 환영합니다 - 모든거래는 선입금 순 입니다 - 빈티지 제품 특성상 교환 및 환불이 어렵습니다 - 빈티지 특성상 미세하자나 미세이염이 존재할 수 있습니다 - 실측 방법에 따라 1~3cm 오차범위가 있을 수 있습니다 ☑️ 배송비 - 일반택배 기본 3,000원/제주 및 산간지역 6,000원 - 편의점 반값택배 1,600원 ★ 3개 이상 구매 시 택배비 무료...",2026-05-29 15:54:38
15,11,joongna,나이키 후드티,228523009,https://web.joongna.com/product/228523009,나이키 후드티,나이키 후드티,후드티,의류,패션의류 > 남성의류 > 티셔츠/캐쥬얼의류,Nike,,의류:nike:후드티,새상품,구성품 없음,47000,KRW,판매완료,판매완료,,,,,"택배거래, 직거래",https://img2.joongna.com/media/original/2026/05/12/17785751641228vD_gUTL4.jpg?impolicy=thumb,제품명 : 나이키 후드티 사이즈 : M 제품 상태 : 새제품 판매 가격 : 47000원 (배송비 포함) 기타 사항 : 인천 남동구 만수6동 시간 협의 후 직거래 가능 거래 후 단순변심 및 사이즈 미스로 인한 환불은 불가합니다,2026-05-29 15:54:39
16,12,joongna,나이키 후드티,228838357,https://web.joongna.com/product/228838357,[110]나이키 스우시 하프집업 후드티,110 나이키 스우시 하프집업 후드티,후드티,의류,패션의류 > 남성의류 > 티셔츠/캐쥬얼의류,Nike,,의류:nike:후드티,중고,구성품 없음,20000,KRW,판매완료,판매완료,,,,4000,택배거래,https://img2.joongna.com/media/original/2026/05/21/17793546800720Mp_n3Oi6.jpg?impolicy=thumb,사이즈110 가슴반품64 길이69 상태좋아요!!,2026-05-29 15:54:40
17,13,joongna,나이키 후드티,229037894,https://web.joongna.com/product/229037894,나이키 후드티,나이키 후드티,후드티,의류,패션의류 > 남성의류 > 티셔츠/캐쥬얼의류,Nike,,의류:nike:후드티,중고,구성품 없음,13000,KRW,판매완료,판매완료,,,,,"택배거래, 직거래",https://img2.joongna.com/media/original/2026/05/27/1779872595475PmS_V4CV8.jpg?impolicy=thumb,"사이즈 L사이즈 실물은 완전 검은색이구요 , 노란색 포인트 찢김 , 오염 일절 없습니다 쿨거래 원해요",2026-05-29 15:54:41
